schema,table,column,data_type
public,AFPO,cuobj,text
public,AFPO,kbnkz,text
public,AFPO,arsnr,text
public,AFPO,arsps,text
public,AFPO,krsnr,text
public,AFPO,krsps,text
public,AFPO,kckey,text
public,AFPO,rtp01,text
public,AFPO,rtp02,text
public,AFPO,rtp03,text
public,AFPO,rtp04,text
public,AFPO,ksvon,text
public,AFPO,ksbis,text
public,AFPO,objnp,text
public,AFPO,ndisr,text
public,AFPO,vfmng,text
public,AFPO,gsbtr,text
public,AFPO,kzavc,text
public,AFPO,kzbws,text
public,AFPO,xloek,text
public,AFPO,sernp,text
public,AFPO,anzsn,text
public,AFPO,objtype,text
public,AFPO,ch_proc,text
public,AFPO,fxpru,text
public,AFPO,cuobj_root,text
public,AFPO,berid,text
public,AFPO,techs_copy,text
public,AFPO,sgt_scat,text
public,AFPO,kunnr2,text
public,AFPO,fsh_season_year,text
public,AFPO,fsh_season,text
public,AFPO,fsh_collection,text
public,AFPO,fsh_theme,text
public,AFPO,fsh_salloc_qty,text
public,AFPO,mill_oc_aufnr_u,text
public,AFPO,mill_oc_rumng,text
public,AFPO,mill_oc_sort,text
public,AUFK,mandt,text
public,AUFK,aufnr,text
public,AUFK,auart,text
public,AUFK,autyp,text
public,AUFK,refnr,text
public,AUFK,ernam,text
public,AUFK,erdat,text
public,AUFK,aenam,text
public,AUFK,aedat,text
public,AUFK,ktext,text
public,AUFK,ltext,text
public,AUFK,bukrs,text
public,AUFK,werks,text
public,AUFK,gsber,text
public,AUFK,kokrs,text
public,AUFK,cckey,text
public,AUFK,kostv,text
public,AUFK,stort,text
public,AUFK,sowrk,text
public,AUFK,astkz,text
public,AUFK,waers,text
public,AUFK,astnr,text
public,AUFK,stdat,text
public,AUFK,estnr,text
public,AUFK,phas0,text
public,AUFK,phas1,text
public,AUFK,phas2,text
public,AUFK,phas3,text
public,AUFK,pdat1,text
public,AUFK,pdat2,text
public,AUFK,pdat3,text
public,AUFK,idat1,text
public,AUFK,idat2,text
public,AUFK,idat3,text
public,AUFK,objid,text
public,AUFK,vogrp,text
public,AUFK,loekz,text
public,AUFK,plgkz,text
public,AUFK,kvewe,text
public,AUFK,kappl,text
public,AUFK,kalsm,text
public,AUFK,zschl,text
public,AUFK,abkrs,text
public,AUFK,kstar,text
public,AUFK,kostl,text
public,AUFK,saknr,text
public,AUFK,setnm,text
public,AUFK,cycle,text
public,AUFK,sdate,text
public,AUFK,seqnr,text
public,AUFK,user0,text
public,AUFK,user1,text
public,AUFK,user2,text
public,AUFK,user3,text
public,AUFK,user4,text
public,AUFK,user5,text
public,AUFK,user6,text
public,AUFK,user7,text
public,AUFK,user8,text
public,AUFK,user9,text
public,AUFK,objnr,text
public,AUFK,prctr,text
public,AUFK,pspel,text
public,AUFK,awsls,text
public,AUFK,abgsl,text
public,AUFK,txjcd,text
public,AUFK,func_area,text
public,AUFK,scope,text
public,AUFK,plint,text
public,AUFK,kdauf,text
public,AUFK,kdpos,text
public,AUFK,aufex,text
public,AUFK,ivpro,text
public,AUFK,logsystem,text
public,AUFK,flg_mltps,text
public,AUFK,abukr,text
public,AUFK,akstl,text
public,AUFK,sizecl,text
public,AUFK,izwek,text
public,AUFK,umwkz,text
public,AUFK,kstempf,text
public,AUFK,zschm,text
public,AUFK,pkosa,text
public,AUFK,anfaufnr,text
public,AUFK,procnr,text
public,AUFK,proty,text
public,AUFK,rsord,text
public,AUFK,bemot,text
public,AUFK,adrnra,text
public,AUFK,erfzeit,text
public,AUFK,aezeit,text
public,AUFK,cstg_vrnt,text
public,AUFK,costestnr,text
public,AUFK,veraa_user,text
public,AUFK,dummy_ci_aufk,text
public,AUFK,vname,text
public,AUFK,recid,text
public,AUFK,etype,text
public,AUFK,otype,text
public,AUFK,jv_jibcl,text
public,AUFK,jv_jibsa,text
public,AUFK,jv_oco,text
public,AUFK,cpd_updat,text
public,AUFK,/CUM/INDCU,text
public,AUFK,/CUM/CMNUM,text
public,AUFK,/CUM/AUEST,text
public,AUFK,/CUM/DESNUM,text
public,AUFK,/MRSS/PL_STRU_ID,text
public,AUFK,/MRSS/PL_MAN_TYP,text
public,AUFK,/MRSS/ORDER_PROB,text
public,AUFK,/MRSS/ACT_TYPE,text
public,AUFK,/MRSS/INIT_DONE,text
public,AUFK,/MRSS/DATACHANGE,text
public,AUFK,/MRSS/SALES_ORG,text
public,AUFK,/MRSS/NW_BOOKED,text
public,AUFK,vaplz,text
public,AUFK,wawrk,text
public,AUFK,ferc_ind,text
public,AUFK,aufk_status,text
public,AUFK,claim_control,text
public,AUFK,update_needed,text
public,AUFK,update_control,text
public,AUSP,mandt,text
public,AUSP,objek,text
public,AUSP,atinn,text
public,AUSP,atzhl,text
public,AUSP,mafid,text
public,AUSP,klart,text
public,AUSP,adzhl,text
public,AUSP,atwrt,text
public,AUSP,atflv,text
public,AUSP,atawe,text
public,AUSP,atflb,text
public,AUSP,ataw1,text
public,AUSP,atcod,text
public,AUSP,attlv,text
public,AUSP,attlb,text
public,AUSP,atprz,text
public,AUSP,atinc,text
public,AUSP,ataut,text
public,AUSP,aennr,text
public,AUSP,datuv,text
public,AUSP,lkenz,text
public,AUSP,atimb,text
public,AUSP,atzis,text
public,AUSP,atsrt,text
public,AUSP,atvglart,text
public,AUSP,datub,text
public,BKPF,mandt,text
public,BKPF,bukrs,text
public,BKPF,belnr,text
public,BKPF,gjahr,text
public,BKPF,blart,text
public,BKPF,bldat,text
public,BKPF,budat,text
public,BKPF,monat,text
public,BKPF,cpudt,text
public,BKPF,cputm,text
public,BKPF,aedat,text
public,BKPF,upddt,text
public,BKPF,wwert,text
public,BKPF,usnam,text
public,BKPF,tcode,text
public,BKPF,bvorg,text
public,BKPF,xblnr,text
public,BKPF,dbblg,text
public,BKPF,stblg,text
public,BKPF,stjah,text
public,BKPF,bktxt,text
public,BKPF,waers,text
public,BKPF,kursf,text
public,BKPF,kzwrs,text
public,BKPF,kzkrs,text
public,BKPF,bstat,text
public,BKPF,xnetb,text
public,BKPF,frath,text
public,BKPF,xrueb,text
public,BKPF,glvor,text
public,BKPF,grpid,text
public,BKPF,dokid,text
public,BKPF,arcid,text
public,BKPF,iblar,text
public,BKPF,awtyp,text
public,BKPF,awkey,text
public,BKPF,fikrs,text
public,BKPF,hwaer,text
public,BKPF,hwae2,text
public,BKPF,hwae3,text
public,BKPF,kurs2,text
public,BKPF,kurs3,text
public,BKPF,basw2,text
public,BKPF,basw3,text
public,BKPF,umrd2,text
public,BKPF,umrd3,text
public,BKPF,xstov,text
public,BKPF,stodt,text
public,BKPF,xmwst,text
public,BKPF,curt2,text
public,BKPF,curt3,text
public,BKPF,kuty2,text
public,BKPF,kuty3,text
public,BKPF,xsnet,text
public,BKPF,ausbk,text
public,BKPF,xusvr,text
public,BKPF,duefl,text
public,BKPF,awsys,text
public,BKPF,txkrs,text
public,BKPF,ctxkrs,text
public,BKPF,lotkz,text
public,BKPF,xwvof,text
public,BKPF,stgrd,text
public,BKPF,ppnam,text
public,BKPF,ppdat,text
public,BKPF,pptme,text
public,BKPF,brnch,text
public,BKPF,numpg,text
public,BKPF,adisc,text
