schema,table,column,data_type
public,CE1PR22,vv368,text
public,CE1PR22,vv151,text
public,CE1PR22,vv171,text
public,CE1PR22,vv181,text
public,CE1PR22,vv191,text
public,CE1PR22,vv201,text
public,CE1PR22,vv211,text
public,CE1PR22,vv251,text
public,CE1PR22,vv810,text
public,CE1PR22,vv820,text
public,CE1PR22,vv830,text
public,CE1PR22,vv840,text
public,CE1PR22,vv095,text
public,CE1PR22,vv713,text
public,CE1PR22,vv900,text
public,CE1PR22,vv910,text
public,CE1PR22,vv915,text
public,CE1PR22,vv920,text
public,CE1PR22,vv930,text
public,CE1PR22,vv931,text
public,CE1PR22,vv940,text
public,CE1PR22,vv950,text
public,CE1PR22,vv960,text
public,CE1PR22,vv970,text
public,CE1PR22,vv999,text
public,CE1PR22,vvadv,text
public,CE1PR22,vvcgs,text
public,CE1PR22,vvdep,text
public,CE1PR22,vveng,text
public,CE1PR22,vvnr,text
public,CE1PR22,vvpsc,text
public,CE1PR22,vvren,text
public,CE1PR22,vvrev,text
public,CE1PR22,vvsd,text
public,CE1PR22,vvcm2,text
public,CE1PR22,vvsv,text
public,CE1PR22,vvls1,text
public,CE1PR22,vvls2,text
public,CE1PR22,vvls3,text
public,CE1PR22,ausfr,text
public,CE1R300,mandt,text
public,CE1R300,paledger,text
public,CE1R300,vrgar,text
public,CE1R300,versi,text
public,CE1R300,perio,text
public,CE1R300,paobjnr,text
public,CE1R300,pasubnr,text
public,CE1R300,belnr,text
public,CE1R300,posnr,text
public,CE1R300,hzdat,text
public,CE1R300,usnam,text
public,CE1R300,gjahr,text
public,CE1R300,perde,text
public,CE1R300,wadat,text
public,CE1R300,fadat,text
public,CE1R300,budat,text
public,CE1R300,altperio,text
public,CE1R300,papaobjnr,text
public,CE1R300,papasubnr,text
public,CE1R300,kndnr,text
public,CE1R300,artnr,text
public,CE1R300,fkart,text
public,CE1R300,frwae,text
public,CE1R300,kursf,text
public,CE1R300,kursbk,text
public,CE1R300,kurskz,text
public,CE1R300,rec_waers,text
public,CE1R300,kaufn,text
public,CE1R300,kdpos,text
public,CE1R300,rkaufnr,text
public,CE1R300,skost,text
public,CE1R300,prznr,text
public,CE1R300,bukrs,text
public,CE1R300,kokrs,text
public,CE1R300,werks,text
public,CE1R300,gsber,text
public,CE1R300,vkorg,text
public,CE1R300,vtweg,text
public,CE1R300,spart,text
public,CE1R300,hrkft,text
public,CE1R300,plikz,text
public,CE1R300,kstar,text
public,CE1R300,pspnr,text
public,CE1R300,kstrg,text
public,CE1R300,rbeln,text
public,CE1R300,rposn,text
public,CE1R300,sto_belnr,text
public,CE1R300,sto_posnr,text
public,CE1R300,prctr,text
public,CE1R300,pprctr,text
public,CE1R300,rkestatu,text
public,CE1R300,timestmp,text
public,CE1R300,copa_awtyp,text
public,CE1R300,copa_aworg,text
public,CE1R300,copa_bwzpt,text
public,CE1R300,copa_awsys,text
public,CE1R300,abtnr,text
public,CE1R300,ekorg,text
public,CE1R300,matkl,text
public,CE1R300,wgru1,text
public,CE1R300,wgru2,text
public,CE1R300,vv700_me,text
public,CE1R300,vv700,text
public,CE1R300,vv701,text
public,CE1R300,vv702,text
public,CE1R300,vv707,text
public,CE1R300,vv708,text
public,CE1R300,vv709,text
public,CE1R300,vv710,text
public,CE1R300,vv711,text
public,CE1R300,vv712,text
public,CE1R300,vv713,text
public,CE1R300,vv714,text
public,CE1R300,vv715,text
public,CE1R300,vv716,text
public,CE1R300,vv717,text
public,CE1R300,vv718,text
public,CE1R300,vv719,text
public,CE1R300,vv720,text
public,CE1R300,vv721,text
public,CE1R300,vv722,text
public,CE1R300,vv723,text
public,CE1R300,vv724,text
public,CE1R300,vv725,text
public,CE1R300,vv726,text
public,CE1R300,vv699,text
public,CE1R300,vv680,text
public,CE1R300,vv681,text
public,CE1R300,vv692,text
public,CE1R300,vv694,text
public,CE1R300,vv695,text
public,CE1R300,vv696,text
public,CE1R300,vv697,text
public,CE1R300,vv698,text
public,CE1R300,vv690,text
public,CE1R300,vv693,text
public,CE1S_AL,mandt,text
public,CE1S_AL,paledger,text
public,CE1S_AL,vrgar,text
public,CE1S_AL,versi,text
public,CE1S_AL,perio,text
public,CE1S_AL,paobjnr,text
public,CE1S_AL,pasubnr,text
public,CE1S_AL,belnr,text
public,CE1S_AL,posnr,text
public,CE1S_AL,hzdat,text
public,CE1S_AL,usnam,text
public,CE1S_AL,gjahr,text
public,CE1S_AL,perde,text
public,CE1S_AL,wadat,text
public,CE1S_AL,fadat,text
public,CE1S_AL,budat,text
public,CE1S_AL,altperio,text
public,CE1S_AL,papaobjnr,text
public,CE1S_AL,papasubnr,text
public,CE1S_AL,kndnr,text
public,CE1S_AL,artnr,text
public,CE1S_AL,fkart,text
public,CE1S_AL,frwae,text
public,CE1S_AL,kursf,text
public,CE1S_AL,kursbk,text
public,CE1S_AL,kurskz,text
public,CE1S_AL,rec_waers,text
public,CE1S_AL,kaufn,text
public,CE1S_AL,kdpos,text
public,CE1S_AL,rkaufnr,text
public,CE1S_AL,skost,text
public,CE1S_AL,prznr,text
public,CE1S_AL,bukrs,text
public,CE1S_AL,kokrs,text
public,CE1S_AL,werks,text
public,CE1S_AL,gsber,text
public,CE1S_AL,vkorg,text
public,CE1S_AL,vtweg,text
public,CE1S_AL,spart,text
public,CE1S_AL,hrkft,text
public,CE1S_AL,plikz,text
public,CE1S_AL,kstar,text
public,CE1S_AL,pspnr,text
public,CE1S_AL,kstrg,text
public,CE1S_AL,rbeln,text
public,CE1S_AL,rposn,text
public,CE1S_AL,sto_belnr,text
public,CE1S_AL,sto_posnr,text
public,CE1S_AL,prctr,text
public,CE1S_AL,pprctr,text
public,CE1S_AL,rkestatu,text
public,CE1S_AL,timestmp,text
public,CE1S_AL,copa_awtyp,text
public,CE1S_AL,copa_aworg,text
public,CE1S_AL,copa_bwzpt,text
public,CE1S_AL,copa_awsys,text
public,CE1S_AL,kmatyp,text
public,CE1S_AL,kmdest,text
public,CE1S_AL,kmfltn,text
public,CE1S_AL,kmflty,text
public,CE1S_AL,kmiata,text
public,CE1S_AL,kmlegs,text
public,CE1S_AL,kmopdy,text
public,CE1S_AL,kmorig,text
public,CE1S_AL,kmrout,text
public,CE1S_AL,kmzone,text
public,CE1S_AL,kwblok_me,text
public,CE1S_AL,kwflhr_me,text
public,CE1S_AL,kwflkm_me,text
public,CE1S_AL,kwfuel_me,text
public,CE1S_AL,kwpaxs_me,text
public,CE1S_AL,kwseat_me,text
public,CE1S_AL,kwbkpz_me,text
public,CE1S_AL,kwblks,text
public,CE1S_AL,kwblok,text
public,CE1S_AL,kwcatr,text
public,CE1S_AL,kwcrwk,text
public,CE1S_AL,kwdepr,text
public,CE1S_AL,kweuro,text
public,CE1S_AL,kwexlr,text
public,CE1S_AL,kwflhr,text
public,CE1S_AL,kwflkm,text
public,CE1S_AL,kwflsc,text
public,CE1S_AL,kwflsr,text
public,CE1S_AL,kwfrgr,text
public,CE1S_AL,kwfuel,text
public,CE1S_AL,kwfulk,text
public,CE1S_AL,kwinsr,text
public,CE1S_AL,kwireg,text
public,CE1S_AL,kwlfee,text
public,CE1S_AL,kwpaxr,text
public,CE1S_AL,kwpaxs,text
public,CE1S_AL,kwpxhd,text
public,CE1S_AL,kwresv,text
public,CE1S_AL,kwseat,text
public,CE1S_AL,kwverw,text
public,CE1S_AL,kwagtk,text
public,CE1S_AL,kwwtfx,text
public,CE1S_AL,kwwtva,text
public,CE1S_AL,kwcrgk,text
public,CE1S_AL,kwsmkt,text
public,CE1S_AL,kwgrhd,text
public,CE1S_AL,kwbkpz,text
public,CE1S_CP,mandt,text
public,CE1S_CP,paledger,text
public,CE1S_CP,vrgar,text
public,CE1S_CP,versi,text
public,CE1S_CP,perio,text
public,CE1S_CP,paobjnr,text
public,CE1S_CP,pasubnr,text
public,CE1S_CP,belnr,text
public,CE1S_CP,posnr,text
public,CE1S_CP,hzdat,text
public,CE1S_CP,usnam,text
public,CE1S_CP,gjahr,text
public,CE1S_CP,perde,text
public,CE1S_CP,wadat,text
public,CE1S_CP,fadat,text
public,CE1S_CP,budat,text
public,CE1S_CP,altperio,text
public,CE1S_CP,papaobjnr,text
public,CE1S_CP,papasubnr,text
public,CE1S_CP,kndnr,text
public,CE1S_CP,artnr,text
public,CE1S_CP,fkart,text
public,CE1S_CP,frwae,text
public,CE1S_CP,kursf,text
public,CE1S_CP,kursbk,text
public,CE1S_CP,kurskz,text
public,CE1S_CP,rec_waers,text
public,CE1S_CP,kaufn,text
public,CE1S_CP,kdpos,text
public,CE1S_CP,rkaufnr,text
public,CE1S_CP,skost,text
public,CE1S_CP,prznr,text
public,CE1S_CP,bukrs,text
public,CE1S_CP,kokrs,text
public,CE1S_CP,werks,text
public,CE1S_CP,gsber,text
public,CE1S_CP,vkorg,text
public,CE1S_CP,vtweg,text
public,CE1S_CP,spart,text
public,CE1S_CP,hrkft,text
public,CE1S_CP,plikz,text
public,CE1S_CP,kstar,text
public,CE1S_CP,pspnr,text
public,CE1S_CP,kstrg,text
public,CE1S_CP,rbeln,text
public,CE1S_CP,rposn,text
public,CE1S_CP,sto_belnr,text
public,CE1S_CP,sto_posnr,text
public,CE1S_CP,prctr,text
public,CE1S_CP,pprctr,text
public,CE1S_CP,rkestatu,text
public,CE1S_CP,timestmp,text
public,CE1S_CP,copa_awtyp,text
public,CE1S_CP,copa_aworg,text
public,CE1S_CP,copa_bwzpt,text
public,CE1S_CP,copa_awsys,text
public,CE1S_CP,kmbrnd,text
public,CE1S_CP,kmcatg,text
public,CE1S_CP,kmhi01,text
public,CE1S_CP,kmhi02,text
public,CE1S_CP,kmhi03,text
public,CE1S_CP,kmkdgr,text
public,CE1S_CP,kmland,text
public,CE1S_CP,kmmakl,text
public,CE1S_CP,kmniel,text
public,CE1S_CP,kmstge,text
public,CE1S_CP,kmvkbu,text
public,CE1S_CP,kmvkgr,text
public,CE1S_CP,kmvtnr,text
public,CE1S_CP,kwsvme_me,text
public,CE1S_CP,kwabfk,text
public,CE1S_CP,kwablg,text
public,CE1S_CP,kwablk,text
public,CE1S_CP,kwabmg,text
public,CE1S_CP,kwabpr,text
public,CE1S_CP,kwabsg,text
public,CE1S_CP,kwabst,text
public,CE1S_CP,kwakrb,text
public,CE1S_CP,kwboni,text
public,CE1S_CP,kwbrum,text
public,CE1S_CP,kwfkfx,text
public,CE1S_CP,kwfkva,text
public,CE1S_CP,kwfoen,text
public,CE1S_CP,kwkdrb,text
public,CE1S_CP,kwklfk,text
public,CE1S_CP,kwlogi,text
public,CE1S_CP,kwmaek,text
public,CE1S_CP,kwmagk,text
public,CE1S_CP,kwmarb,text
public,CE1S_CP,kwmgrb,text
public,CE1S_CP,kwmkad,text
public,CE1S_CP,kwmkdp,text
public,CE1S_CP,kwmkpr,text
public,CE1S_CP,kwskto,text
public,CE1S_CP,kwverw,text
public,CE1S_CP,kwvkpv,text
public,CE1S_CP,kwvsek,text
public,CE1S_CP,kwvtad,text
public,CE1S_CP,kwvtid,text
public,CE1S_CP,kwsvme,text
public,CE1S_GO,mandt,text
public,CE1S_GO,paledger,text
public,CE1S_GO,vrgar,text
public,CE1S_GO,versi,text
public,CE1S_GO,perio,text
public,CE1S_GO,paobjnr,text
public,CE1S_GO,pasubnr,text
public,CE1S_GO,belnr,text
public,CE1S_GO,posnr,text
public,CE1S_GO,hzdat,text
public,CE1S_GO,usnam,text
public,CE1S_GO,gjahr,text
public,CE1S_GO,perde,text
public,CE1S_GO,wadat,text
public,CE1S_GO,fadat,text
public,CE1S_GO,budat,text
public,CE1S_GO,altperio,text
public,CE1S_GO,papaobjnr,text
public,CE1S_GO,papasubnr,text
public,CE1S_GO,kndnr,text
public,CE1S_GO,artnr,text
public,CE1S_GO,fkart,text
public,CE1S_GO,frwae,text
public,CE1S_GO,kursf,text
public,CE1S_GO,kursbk,text
public,CE1S_GO,kurskz,text
public,CE1S_GO,rec_waers,text
public,CE1S_GO,kaufn,text
public,CE1S_GO,kdpos,text
public,CE1S_GO,rkaufnr,text
public,CE1S_GO,skost,text
public,CE1S_GO,prznr,text
public,CE1S_GO,bukrs,text
public,CE1S_GO,kokrs,text
public,CE1S_GO,werks,text
public,CE1S_GO,gsber,text
public,CE1S_GO,vkorg,text
public,CE1S_GO,vtweg,text
public,CE1S_GO,spart,text
public,CE1S_GO,hrkft,text
public,CE1S_GO,plikz,text
public,CE1S_GO,kstar,text
public,CE1S_GO,pspnr,text
public,CE1S_GO,kstrg,text
public,CE1S_GO,rbeln,text
public,CE1S_GO,rposn,text
public,CE1S_GO,sto_belnr,text
public,CE1S_GO,sto_posnr,text
public,CE1S_GO,prctr,text
public,CE1S_GO,pprctr,text
public,CE1S_GO,rkestatu,text
public,CE1S_GO,timestmp,text
public,CE1S_GO,copa_awtyp,text
public,CE1S_GO,copa_aworg,text
public,CE1S_GO,copa_bwzpt,text
public,CE1S_GO,copa_awsys,text
public,CE1S_GO,brsch,text
public,CE1S_GO,bzirk,text
public,CE1S_GO,kdgrp,text
public,CE1S_GO,kmvkbu,text
public,CE1S_GO,kmvtnr,text
public,CE1S_GO,matkl,text
public,CE1S_GO,vkgrp,text
public,CE1S_GO,kmwnhg,text
public,CE1S_GO,kwsvme_me,text
public,CE1S_GO,kwbrum,text
public,CE1S_GO,kwboni,text
public,CE1S_GO,kwkdrb,text
public,CE1S_GO,kwmgrb,text
public,CE1S_GO,kwmarb,text
public,CE1S_GO,kwskto,text
public,CE1S_GO,kwvkpv,text
public,CE1S_GO,kwvsek,text
public,CE1S_GO,kwklfk,text
public,CE1S_GO,kwmagk,text
public,CE1S_GO,kwmaek,text
public,CE1S_GO,kwfkfx,text
public,CE1S_GO,kwfkva,text
public,CE1S_GO,kwabmg,text
public,CE1S_GO,kwabpr,text
public,CE1S_GO,kwabsg,text
public,CE1S_GO,kwgohd,text
public,CE1S_GO,kwmkdp,text
public,CE1S_GO,kwsohd,text
public,CE1S_GO,kwfoen,text
public,CE1S_GO,kwsgek,text
public,CE1S_GO,kwsvme,text
public,CE2BGIS,mandt,text
public,CE2BGIS,paledger,text
public,CE2BGIS,vrgar,text
public,CE2BGIS,versi,text
public,CE2BGIS,paobjnr,text
public,CE2BGIS,pasubnr,text
public,CE2BGIS,belnr,text
public,CE2BGIS,perbl,text
public,CE2BGIS,hzdat,text
public,CE2BGIS,usnam,text
public,CE2BGIS,gjahr,text
public,CE2BGIS,papaobjnr,text
public,CE2BGIS,papasubnr,text
public,CE2BGIS,kndnr,text
public,CE2BGIS,artnr,text
public,CE2BGIS,fkart,text
public,CE2BGIS,frwae,text
public,CE2BGIS,rec_waers,text
public,CE2BGIS,kaufn,text
public,CE2BGIS,kdpos,text
public,CE2BGIS,rkaufnr,text
public,CE2BGIS,skost,text
public,CE2BGIS,prznr,text
public,CE2BGIS,bukrs,text
public,CE2BGIS,kokrs,text
public,CE2BGIS,werks,text
public,CE2BGIS,gsber,text
public,CE2BGIS,vkorg,text
public,CE2BGIS,vtweg,text
public,CE2BGIS,spart,text
public,CE2BGIS,hrkft,text
public,CE2BGIS,kstar,text
public,CE2BGIS,pspnr,text
public,CE2BGIS,kstrg,text
public,CE2BGIS,rbeln,text
public,CE2BGIS,rposn,text
public,CE2BGIS,prctr,text
public,CE2BGIS,pprctr,text
public,CE2BGIS,rkestatu,text
public,CE2BGIS,timestmp,text
public,CE2BGIS,brsch,text
public,CE2BGIS,bzirk,text
public,CE2BGIS,kdgrp,text
public,CE2BGIS,kmvkbu,text
public,CE2BGIS,kmvtnr,text
public,CE2BGIS,matkl,text
public,CE2BGIS,vkgrp,text
public,CE2BGIS,kmwnhg,text
public,CE2BGIS,land1,text
public,CE2BGIS,regio,text
public,CE2BGIS,kwsvme_me,text
public,CE2BGIS,kwbrum001,text
public,CE2BGIS,kwboni001,text
public,CE2BGIS,kwkdrb001,text
public,CE2BGIS,kwmgrb001,text
public,CE2BGIS,kwmarb001,text
public,CE2BGIS,kwskto001,text
public,CE2BGIS,kwvkpv001,text
public,CE2BGIS,kwvsek001,text
public,CE2BGIS,kwklfk001,text
public,CE2BGIS,kwmagk001,text
public,CE2BGIS,kwmaek001,text
public,CE2BGIS,kwfkfx001,text
public,CE2BGIS,kwfkva001,text
public,CE2BGIS,kwabmg001,text
public,CE2BGIS,kwabpr001,text
public,CE2BGIS,kwabsg001,text
public,CE2BGIS,kwgohd001,text
public,CE2BGIS,kwmkdp001,text
public,CE2BGIS,kwsohd001,text
public,CE2BGIS,kwfoen001,text
public,CE2BGIS,kwsgek001,text
public,CE2BGIS,kwsvme001,text
public,CE2IDEA,mandt,text
public,CE2IDEA,paledger,text
public,CE2IDEA,vrgar,text
public,CE2IDEA,versi,text
public,CE2IDEA,paobjnr,text
public,CE2IDEA,pasubnr,text
public,CE2IDEA,belnr,text
public,CE2IDEA,perbl,text
public,CE2IDEA,hzdat,text
public,CE2IDEA,usnam,text
public,CE2IDEA,gjahr,text
public,CE2IDEA,papaobjnr,text
public,CE2IDEA,papasubnr,text
public,CE2IDEA,kndnr,text
public,CE2IDEA,artnr,text
public,CE2IDEA,fkart,text
public,CE2IDEA,frwae,text
public,CE2IDEA,rec_waers,text
public,CE2IDEA,kaufn,text
public,CE2IDEA,kdpos,text
public,CE2IDEA,rkaufnr,text
public,CE2IDEA,skost,text
public,CE2IDEA,prznr,text
public,CE2IDEA,bukrs,text
public,CE2IDEA,kokrs,text
public,CE2IDEA,werks,text
public,CE2IDEA,gsber,text
public,CE2IDEA,vkorg,text
public,CE2IDEA,vtweg,text
public,CE2IDEA,spart,text
public,CE2IDEA,hrkft,text
public,CE2IDEA,kstar,text
public,CE2IDEA,pspnr,text
public,CE2IDEA,kstrg,text
public,CE2IDEA,rbeln,text
public,CE2IDEA,rposn,text
public,CE2IDEA,prctr,text
public,CE2IDEA,pprctr,text
public,CE2IDEA,rkestatu,text
public,CE2IDEA,timestmp,text
public,CE2IDEA,matkl,text
public,CE2IDEA,mvgr1,text
public,CE2IDEA,wwph1,text
public,CE2IDEA,wwph2,text
public,CE2IDEA,wwph3,text
public,CE2IDEA,wwprc,text
public,CE2IDEA,wwsop,text
public,CE2IDEA,wwsbu,text
public,CE2IDEA,kdgrp,text
public,CE2IDEA,kukla,text
public,CE2IDEA,bzirk,text
public,CE2IDEA,brsch,text
public,CE2IDEA,wwreg,text
public,CE2IDEA,land1,text
public,CE2IDEA,kunwe,text
public,CE2IDEA,wwcst,text
public,CE2IDEA,wwrst,text
public,CE2IDEA,hie01,text
public,CE2IDEA,hie02,text
public,CE2IDEA,hie03,text
public,CE2IDEA,vrtnr,text
public,CE2IDEA,vkbur,text
public,CE2IDEA,vkgrp,text
public,CE2IDEA,wwici,text
public,CE2IDEA,augru,text
public,CE2IDEA,wwpro,text
public,CE2IDEA,wwsdl,text
public,CE2IDEA,paph1,text
public,CE2IDEA,paph2,text
public,CE2IDEA,paph3,text
public,CE2IDEA,pareg,text
public,CE2IDEA,sorhist,text
public,CE2IDEA,wwmea,text
public,CE2IDEA,wwqua,text
public,CE2IDEA,wwsur,text
public,CE2IDEA,regio,text
public,CE2IDEA,crmelem,text
public,CE2IDEA,crmcsty,text
public,CE2IDEA,route,text
public,CE2IDEA,vvoqt_me,text
public,CE2IDEA,vviqt_me,text
public,CE2IDEA,vvsqt_me,text
public,CE2IDEA,vvgrw_me,text
public,CE2IDEA,vv550_me,text
public,CE2IDEA,vv560_me,text
public,CE2IDEA,vv570_me,text
public,CE2IDEA,vv580_me,text
public,CE2IDEA,vv495_me,text
public,CE2IDEA,vvstu_me,text
public,CE2IDEA,vvoqu_me,text
public,CE2IDEA,vv810_me,text
public,CE2IDEA,vv820_me,text
public,CE2IDEA,vv930_me,text
public,CE2IDEA,vv931_me,text
public,CE2IDEA,vvsv_me,text
public,CE2IDEA,vvoqt001,text
public,CE2IDEA,vviqt001,text
public,CE2IDEA,vvsqt001,text
public,CE2IDEA,vvgrw001,text
public,CE2IDEA,vv010001,text
public,CE2IDEA,vv020001,text
public,CE2IDEA,vv030001,text
public,CE2IDEA,vv040001,text
public,CE2IDEA,vv060001,text
public,CE2IDEA,vv070001,text
public,CE2IDEA,vv090001,text
public,CE2IDEA,vv100001,text
public,CE2IDEA,vv110001,text
public,CE2IDEA,vv120001,text
public,CE2IDEA,vv130001,text
public,CE2IDEA,vv140001,text
public,CE2IDEA,vv150001,text
public,CE2IDEA,vv160001,text
public,CE2IDEA,vv170001,text
public,CE2IDEA,vv180001,text
public,CE2IDEA,vv190001,text
public,CE2IDEA,vv200001,text
public,CE2IDEA,vv210001,text
public,CE2IDEA,vv220001,text
public,CE2IDEA,vv230001,text
public,CE2IDEA,vv240001,text
public,CE2IDEA,vv250001,text
public,CE2IDEA,vv260001,text
public,CE2IDEA,vv270001,text
public,CE2IDEA,vv280001,text
public,CE2IDEA,vv290001,text
public,CE2IDEA,vv300001,text
public,CE2IDEA,vv310001,text
public,CE2IDEA,vv320001,text
public,CE2IDEA,vv330001,text
public,CE2IDEA,vv340001,text
public,CE2IDEA,vv350001,text
public,CE2IDEA,vv360001,text
public,CE2IDEA,vv370001,text
public,CE2IDEA,vv380001,text
public,CE2IDEA,vv390001,text
public,CE2IDEA,vv400001,text
public,CE2IDEA,vv410001,text
public,CE2IDEA,vv420001,text
public,CE2IDEA,vv430001,text
public,CE2IDEA,vv440001,text
public,CE2IDEA,vv450001,text
public,CE2IDEA,vv460001,text
public,CE2IDEA,vv470001,text
public,CE2IDEA,vv480001,text
public,CE2IDEA,vv145001,text
public,CE2IDEA,vv075001,text
public,CE2IDEA,vv500001,text
public,CE2IDEA,vv510001,text
public,CE2IDEA,vv520001,text
public,CE2IDEA,vv530001,text
public,CE2IDEA,vv550001,text
public,CE2IDEA,vv560001,text
public,CE2IDEA,vv570001,text
public,CE2IDEA,vv580001,text
public,CE2IDEA,vv495001,text
public,CE2IDEA,vvstu001,text
public,CE2IDEA,vv155001,text
public,CE2IDEA,vv365001,text
public,CE2IDEA,vv364001,text
public,CE2IDEA,vvk15001,text
public,CE2IDEA,vvk20001,text
public,CE2IDEA,vvk25001,text
public,CE2IDEA,vvk30001,text
public,CE2IDEA,vvk10001,text
public,CE2IDEA,vvo10001,text
public,CE2IDEA,vvo20001,text
public,CE2IDEA,vvoqu001,text
public,CE2IDEA,vv366001,text
public,CE2IDEA,vv367001,text
public,CE2IDEA,vv368001,text
public,CE2IDEA,vv151001,text
public,CE2IDEA,vv171001,text
public,CE2IDEA,vv181001,text
public,CE2IDEA,vv191001,text
public,CE2IDEA,vv201001,text
public,CE2IDEA,vv211001,text
public,CE2IDEA,vv251001,text
public,CE2IDEA,vv810001,text
public,CE2IDEA,vv820001,text
public,CE2IDEA,vv830001,text
public,CE2IDEA,vv840001,text
public,CE2IDEA,vv095001,text
public,CE2IDEA,vv713001,text
public,CE2IDEA,vv900001,text
public,CE2IDEA,vv910001,text
public,CE2IDEA,vv915001,text
public,CE2IDEA,vv920001,text
public,CE2IDEA,vv930001,text
public,CE2IDEA,vv931001,text
public,CE2IDEA,vv940001,text
public,CE2IDEA,vv950001,text
public,CE2IDEA,vv960001,text
public,CE2IDEA,vv970001,text
public,CE2IDEA,vv999001,text
public,CE2IDEA,vvadv001,text
public,CE2IDEA,vvcgs001,text
public,CE2IDEA,vvdep001,text
public,CE2IDEA,vveng001,text
public,CE2IDEA,vvnr001,text
public,CE2IDEA,vvpsc001,text
public,CE2IDEA,vvren001,text
public,CE2IDEA,vvrev001,text
public,CE2IDEA,vvsd001,text
public,CE2IDEA,vvcm2001,text
public,CE2IDEA,vvsv001,text
public,CE2IDEA,vvls1001,text
public,CE2IDEA,vvls2001,text
public,CE2IDEA,vvls3001,text
public,CE2IDEA,ausfr001,text
public,CE2S_AL,mandt,text
public,CE2S_AL,paledger,text
public,CE2S_AL,vrgar,text
public,CE2S_AL,versi,text
public,CE2S_AL,paobjnr,text
public,CE2S_AL,pasubnr,text
public,CE2S_AL,belnr,text
public,CE2S_AL,perbl,text
public,CE2S_AL,hzdat,text
public,CE2S_AL,usnam,text
public,CE2S_AL,gjahr,text
public,CE2S_AL,papaobjnr,text
public,CE2S_AL,papasubnr,text
public,CE2S_AL,kndnr,text
public,CE2S_AL,artnr,text
public,CE2S_AL,fkart,text
public,CE2S_AL,frwae,text
public,CE2S_AL,rec_waers,text
public,CE2S_AL,kaufn,text
public,CE2S_AL,kdpos,text
public,CE2S_AL,rkaufnr,text
public,CE2S_AL,skost,text
public,CE2S_AL,prznr,text
public,CE2S_AL,bukrs,text
public,CE2S_AL,kokrs,text
public,CE2S_AL,werks,text
public,CE2S_AL,gsber,text
public,CE2S_AL,vkorg,text
public,CE2S_AL,vtweg,text
public,CE2S_AL,spart,text
public,CE2S_AL,hrkft,text
public,CE2S_AL,kstar,text
public,CE2S_AL,pspnr,text
public,CE2S_AL,kstrg,text
public,CE2S_AL,rbeln,text
public,CE2S_AL,rposn,text
public,CE2S_AL,prctr,text
public,CE2S_AL,pprctr,text
public,CE2S_AL,rkestatu,text
public,CE2S_AL,timestmp,text
public,CE2S_AL,kmatyp,text
public,CE2S_AL,kmdest,text
public,CE2S_AL,kmfltn,text
public,CE2S_AL,kmflty,text
public,CE2S_AL,kmiata,text
public,CE2S_AL,kmlegs,text
public,CE2S_AL,kmopdy,text
public,CE2S_AL,kmorig,text
public,CE2S_AL,kmrout,text
public,CE2S_AL,kmzone,text
public,CE2S_AL,kwblok_me,text
public,CE2S_AL,kwflhr_me,text
public,CE2S_AL,kwflkm_me,text
public,CE2S_AL,kwfuel_me,text
public,CE2S_AL,kwpaxs_me,text
public,CE2S_AL,kwseat_me,text
public,CE2S_AL,kwbkpz_me,text
public,CE2S_AL,kwblks001,text
public,CE2S_AL,kwblok001,text
public,CE2S_AL,kwcatr001,text
public,CE2S_AL,kwcrwk001,text
public,CE2S_AL,kwdepr001,text
public,CE2S_AL,kweuro001,text
public,CE2S_AL,kwexlr001,text
public,CE2S_AL,kwflhr001,text
public,CE2S_AL,kwflkm001,text
public,CE2S_AL,kwflsc001,text
public,CE2S_AL,kwflsr001,text
public,CE2S_AL,kwfrgr001,text
public,CE2S_AL,kwfuel001,text
public,CE2S_AL,kwfulk001,text
public,CE2S_AL,kwinsr001,text
public,CE2S_AL,kwireg001,text
public,CE2S_AL,kwlfee001,text
public,CE2S_AL,kwpaxr001,text
public,CE2S_AL,kwpaxs001,text
public,CE2S_AL,kwpxhd001,text
public,CE2S_AL,kwresv001,text
public,CE2S_AL,kwseat001,text
public,CE2S_AL,kwverw001,text
public,CE2S_AL,kwagtk001,text
public,CE2S_AL,kwwtfx001,text
public,CE2S_AL,kwwtva001,text
public,CE2S_AL,kwcrgk001,text
public,CE2S_AL,kwsmkt001,text
public,CE2S_AL,kwgrhd001,text
public,CE2S_AL,kwbkpz001,text
public,CE2S_CP,mandt,text
public,CE2S_CP,paledger,text
public,CE2S_CP,vrgar,text
public,CE2S_CP,versi,text
public,CE2S_CP,paobjnr,text
public,CE2S_CP,pasubnr,text
public,CE2S_CP,belnr,text
public,CE2S_CP,perbl,text
public,CE2S_CP,hzdat,text
public,CE2S_CP,usnam,text
public,CE2S_CP,gjahr,text
public,CE2S_CP,papaobjnr,text
public,CE2S_CP,papasubnr,text
public,CE2S_CP,kndnr,text
public,CE2S_CP,artnr,text
public,CE2S_CP,fkart,text
public,CE2S_CP,frwae,text
public,CE2S_CP,rec_waers,text
public,CE2S_CP,kaufn,text
public,CE2S_CP,kdpos,text
public,CE2S_CP,rkaufnr,text
public,CE2S_CP,skost,text
public,CE2S_CP,prznr,text
public,CE2S_CP,bukrs,text
public,CE2S_CP,kokrs,text
public,CE2S_CP,werks,text
public,CE2S_CP,gsber,text
public,CE2S_CP,vkorg,text
public,CE2S_CP,vtweg,text
